"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","72","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Dec 10 18:52:41 UTC 2025","broken","Wed Dec 10 18:52:41 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get a specific report by ID","77","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Wed Dec 10 18:52:55 UTC 2025","broken","Wed Dec 10 18:52:55 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","72","Get profile - successfully","QA|Nova Bank - Infopool","Wed Dec 10 18:52:42 UTC 2025","broken","Wed Dec 10 18:52:42 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","74","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Wed Dec 10 18:52:48 UTC 2025","broken","Wed Dec 10 18:52:48 UTC 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","75","Create organization - name already exists","QA|Nova Bank - Infopool","Wed Dec 10 18:52:50 UTC 2025","broken","Wed Dec 10 18:52:50 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","80","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Wed Dec 10 18:52:45 UTC 2025","broken","Wed Dec 10 18:52:45 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"Create a new report","55","Create Report - Empty category","QA|Nova Bank - Infopool","Wed Dec 10 18:52:56 UTC 2025","broken","Wed Dec 10 18:52:56 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","53","Update profile - no auth","QA|Nova Bank - Infopool","Wed Dec 10 18:52:43 UTC 2025","broken","Wed Dec 10 18:52:43 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","58","Fetch Customer Comments","QA|Nova Bank - Infopool","Wed Dec 10 18:52:46 UTC 2025","broken","Wed Dec 10 18:52:46 UTC 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","60","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Wed Dec 10 18:52:51 UTC 2025","broken","Wed Dec 10 18:52:51 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","56","Fetch all organizations","QA|Nova Bank - Infopool","Wed Dec 10 18:52:51 UTC 2025","broken","Wed Dec 10 18:52:51 UTC 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","77","Create  organization - without parent id","QA|Nova Bank - Infopool","Wed Dec 10 18:52:50 UTC 2025","broken","Wed Dec 10 18:52:50 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Create a new report","58","Create Report","QA|Nova Bank - Infopool","Wed Dec 10 18:52:55 UTC 2025","broken","Wed Dec 10 18:52:55 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","78","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Wed Dec 10 18:52:52 UTC 2025","broken","Wed Dec 10 18:52:52 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","125","Delete Customer Comment","QA|Nova Bank - Infopool","Wed Dec 10 18:52:46 UTC 2025","broken","Wed Dec 10 18:52:46 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
