"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Thu Jun 05 23:38:00 GMT 2025","passed","Thu Jun 05 23:38:00 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","44","Update profile - no phone number","QA|Nova Bank - Infopool","Thu Jun 05 23:36:40 GMT 2025","passed","Thu Jun 05 23:36:40 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","46","Send user invitation token - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:36:42 GMT 2025","passed","Thu Jun 05 23:36:42 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","59","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Thu Jun 05 23:36:51 GMT 2025","passed","Thu Jun 05 23:36:51 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","27","Update organization details by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:37:59 GMT 2025","passed","Thu Jun 05 23:37:59 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Update an existing report","23","Update Report","QA|Nova Bank - Infopool","Thu Jun 05 23:38:01 GMT 2025","passed","Thu Jun 05 23:38:01 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"Get a paginated list of reports with optional filtering","25","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 23:38:01 GMT 2025","passed","Thu Jun 05 23:38:01 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"Get a paginated list of reports with optional filtering","26","Get Reports Stats","QA|Nova Bank - Infopool","Thu Jun 05 23:38:00 GMT 2025","passed","Thu Jun 05 23:38:00 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","27","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Thu Jun 05 23:38:01 GMT 2025","passed","Thu Jun 05 23:38:01 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","49","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Thu Jun 05 23:36:50 GMT 2025","passed","Thu Jun 05 23:36:50 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","27","Update user - invalid action","QA|Nova Bank - Infopool","Thu Jun 05 23:37:58 GMT 2025","passed","Thu Jun 05 23:37:58 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","52","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Thu Jun 05 23:36:37 GMT 2025","passed","Thu Jun 05 23:36:37 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","100","Get profile - successfully","QA|Nova Bank - Infopool","Thu Jun 05 23:36:40 GMT 2025","passed","Thu Jun 05 23:36:40 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","664","reset password","QA|Nova Bank - Infopool","Thu Jun 05 23:36:37 GMT 2025","passed","Thu Jun 05 23:36:37 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
