"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sat May 24 01:38:34 GMT 2025","failed","Sat May 24 01:38:34 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","61","Add attachment to issue","QA|Nova Bank - Infopool","Sat May 24 01:38:35 GMT 2025","failed","Sat May 24 01:38:35 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","66","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Sat May 24 01:38:30 GMT 2025","passed","Sat May 24 01:38:30 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","60","Search Customers","QA|Nova Bank - Infopool","Sat May 24 01:38:36 GMT 2025","failed","Sat May 24 01:38:36 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","64","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sat May 24 01:38:32 GMT 2025","failed","Sat May 24 01:38:32 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","61","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sat May 24 01:38:32 GMT 2025","passed","Sat May 24 01:38:32 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","57","Get permission by ID - No auth","QA|Nova Bank - Infopool","Sat May 24 01:38:42 GMT 2025","passed","Sat May 24 01:38:42 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","67","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Sat May 24 01:38:30 GMT 2025","passed","Sat May 24 01:38:30 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","61","Update profile - no auth","QA|Nova Bank - Infopool","Sat May 24 01:38:31 GMT 2025","passed","Sat May 24 01:38:31 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Update an existing report","63","Update Report - No auth","QA|Nova Bank - Infopool","Sat May 24 01:38:44 GMT 2025","passed","Sat May 24 01:38:44 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
