"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39","Fetch Customer Comments","QA|Nova Bank - Infopool","Sat Jun 07 22:56:10 GMT 2025","failed","Sat Jun 07 22:56:10 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","39","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Sat Jun 07 22:56:06 GMT 2025","passed","Sat Jun 07 22:56:06 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","396","Change password - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:56:01 GMT 2025","passed","Sat Jun 07 22:56:02 GMT 2025","v1 > Profile > Password","Bank User","",""
"Get a specific report by ID","34","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","36","Create organization - no name","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","197","Invalid current password - Change password","QA|Nova Bank - Infopool","Sat Jun 07 22:56:02 GMT 2025","passed","Sat Jun 07 22:56:02 GMT 2025","v1 > Profile > Password","Bank User","",""
"","36","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Sat Jun 07 22:57:25 GMT 2025","passed","Sat Jun 07 22:57:25 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","35","Export Report Data - No auth","QA|Nova Bank - Infopool","Sat Jun 07 22:57:25 GMT 2025","passed","Sat Jun 07 22:57:25 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","60","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:56:06 GMT 2025","failed","Sat Jun 07 22:56:06 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","3140","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sat Jun 07 22:56:10 GMT 2025","passed","Sat Jun 07 22:56:13 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","33","Get roles - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","50","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat Jun 07 22:56:01 GMT 2025","passed","Sat Jun 07 22:56:01 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","63","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sat Jun 07 22:56:06 GMT 2025","passed","Sat Jun 07 22:56:06 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"Get a specific report by ID","33","Get Report by ID - No auth","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","38","Create organization - empty description","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","177","Create a New Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:56:05 GMT 2025","failed","Sat Jun 07 22:56:05 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","34","No auth - update role","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","52","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sat Jun 07 22:56:01 GMT 2025","passed","Sat Jun 07 22:56:01 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","36","No Auth - Get all definitions","QA|Nova Bank - Infopool","Sat Jun 07 22:57:21 GMT 2025","passed","Sat Jun 07 22:57:21 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","34","Create organization - empty city value","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","38","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sat Jun 07 22:56:14 GMT 2025","failed","Sat Jun 07 22:56:14 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","34","Logout session - no session","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Logout","Bank Admin","",""
"","239","Update profile - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:56:03 GMT 2025","passed","Sat Jun 07 22:56:03 GMT 2025","v1 > Profile > Update profile","Bank User","",""
