"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38","Update Customer Comment Copy","QA|Nova Bank - Infopool","Thu Jun 05 15:47:18 GMT 2025","passed","Thu Jun 05 15:47:18 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","51","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Thu Jun 05 15:47:18 GMT 2025","passed","Thu Jun 05 15:47:18 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","50","managers","QA|Nova Bank - Infopool","Thu Jun 05 15:47:34 GMT 2025","passed","Thu Jun 05 15:47:34 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","70","Update profile - successful","QA|Nova Bank - Infopool","Thu Jun 05 15:47:15 GMT 2025","passed","Thu Jun 05 15:47:15 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","47","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 15:47:34 GMT 2025","passed","Thu Jun 05 15:47:34 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","46","Create organization - no country ID","QA|Nova Bank - Infopool","Thu Jun 05 15:47:33 GMT 2025","passed","Thu Jun 05 15:47:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","184","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 15:47:17 GMT 2025","passed","Thu Jun 05 15:47:17 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","51","Get all definitions","QA|Nova Bank - Infopool","Thu Jun 05 15:47:31 GMT 2025","passed","Thu Jun 05 15:47:31 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","39","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Thu Jun 05 15:47:18 GMT 2025","passed","Thu Jun 05 15:47:18 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","43","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Thu Jun 05 15:47:13 GMT 2025","passed","Thu Jun 05 15:47:14 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","50","Fetch user by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 15:47:32 GMT 2025","passed","Thu Jun 05 15:47:32 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","39","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Thu Jun 05 15:47:33 GMT 2025","passed","Thu Jun 05 15:47:33 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","39","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 15:47:19 GMT 2025","passed","Thu Jun 05 15:47:19 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","174","audit-search","QA|Nova Bank - Infopool","Thu Jun 05 15:47:16 GMT 2025","passed","Thu Jun 05 15:47:16 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","42","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Thu Jun 05 15:47:18 GMT 2025","failed","Thu Jun 05 15:47:18 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","49","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Thu Jun 05 15:47:14 GMT 2025","passed","Thu Jun 05 15:47:14 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","55","Remove user from an organization - successful","QA|Nova Bank - Infopool","Thu Jun 05 15:47:34 GMT 2025","passed","Thu Jun 05 15:47:34 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","38","Invalid name - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 15:47:19 GMT 2025","failed","Thu Jun 05 15:47:19 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","40","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Thu Jun 05 15:47:34 GMT 2025","failed","Thu Jun 05 15:47:34 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","71","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 15:47:14 GMT 2025","failed","Thu Jun 05 15:47:14 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","36","No auth - get user role","QA|Nova Bank - Infopool","Thu Jun 05 15:47:32 GMT 2025","passed","Thu Jun 05 15:47:32 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","39","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Thu Jun 05 15:47:28 GMT 2025","passed","Thu Jun 05 15:47:28 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","46","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Thu Jun 05 15:47:34 GMT 2025","passed","Thu Jun 05 15:47:34 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","43","Create organization - empty city value","QA|Nova Bank - Infopool","Thu Jun 05 15:47:33 GMT 2025","passed","Thu Jun 05 15:47:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","80","verifyOTP","QA|Nova Bank - Infopool","Thu Jun 05 15:47:13 GMT 2025","passed","Thu Jun 05 15:47:13 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","85","update role","QA|Nova Bank - Infopool","Thu Jun 05 15:47:32 GMT 2025","passed","Thu Jun 05 15:47:32 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","39","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Thu Jun 05 15:47:34 GMT 2025","passed","Thu Jun 05 15:47:34 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","50","Fetch all users","QA|Nova Bank - Infopool","Thu Jun 05 15:47:32 GMT 2025","passed","Thu Jun 05 15:47:32 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","43","Update profile - no phone number","QA|Nova Bank - Infopool","Thu Jun 05 15:47:15 GMT 2025","passed","Thu Jun 05 15:47:15 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","41","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 15:47:14 GMT 2025","passed","Thu Jun 05 15:47:14 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","45","Create organization - empty street value","QA|Nova Bank - Infopool","Thu Jun 05 15:47:33 GMT 2025","passed","Thu Jun 05 15:47:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","38","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Thu Jun 05 15:47:34 GMT 2025","passed","Thu Jun 05 15:47:34 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","42","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 15:47:16 GMT 2025","passed","Thu Jun 05 15:47:16 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","38","No Auth - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 15:47:19 GMT 2025","passed","Thu Jun 05 15:47:19 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","56","Add Comment to Customer","QA|Nova Bank - Infopool","Thu Jun 05 15:47:18 GMT 2025","failed","Thu Jun 05 15:47:18 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
