"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36","Export Report Data","QA|Nova Bank - Infopool","Wed May 28 00:18:46 GMT 2025","failed","Wed May 28 00:18:46 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","37","Update Customer Comment","QA|Nova Bank - Infopool","Wed May 28 00:18:31 GMT 2025","failed","Wed May 28 00:18:31 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","35","Create roles - Existing role","QA|Nova Bank - Infopool","Wed May 28 00:18:44 GMT 2025","failed","Wed May 28 00:18:44 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","37","Update profile - no auth","QA|Nova Bank - Infopool","Wed May 28 00:18:29 GMT 2025","passed","Wed May 28 00:18:29 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Get a specific report by ID","34","Get Report by ID - No auth","QA|Nova Bank - Infopool","Wed May 28 00:18:46 GMT 2025","passed","Wed May 28 00:18:46 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","163","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Wed May 28 00:18:30 GMT 2025","failed","Wed May 28 00:18:30 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","36","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Wed May 28 00:18:31 GMT 2025","failed","Wed May 28 00:18:31 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","38","Empty new password - Change password","QA|Nova Bank - Infopool","Wed May 28 00:18:28 GMT 2025","failed","Wed May 28 00:18:28 GMT 2025","v1 > Profile > Password","Bank User","",""
"","57","Role does not exist - update role","QA|Nova Bank - Infopool","Wed May 28 00:18:42 GMT 2025","passed","Wed May 28 00:18:42 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","55","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Wed May 28 00:18:43 GMT 2025","passed","Wed May 28 00:18:43 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","39","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Wed May 28 00:18:30 GMT 2025","passed","Wed May 28 00:18:30 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","34","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Wed May 28 00:18:32 GMT 2025","passed","Wed May 28 00:18:32 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","6307","Invalid credentials","QA|Nova Bank - Infopool","Wed May 28 00:18:21 GMT 2025","passed","Wed May 28 00:18:27 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","54","Logout session successfully","QA|Nova Bank - Infopool","Wed May 28 00:18:45 GMT 2025","passed","Wed May 28 00:18:45 GMT 2025","v1 > Logout","Bank Admin","",""
"","35","Create roles - No auth","QA|Nova Bank - Infopool","Wed May 28 00:18:45 GMT 2025","passed","Wed May 28 00:18:45 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","39","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Wed May 28 00:18:29 GMT 2025","passed","Wed May 28 00:18:30 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Update an existing report","34","Update Report - No auth","QA|Nova Bank - Infopool","Wed May 28 00:18:46 GMT 2025","passed","Wed May 28 00:18:46 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","35","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Wed May 28 00:18:31 GMT 2025","passed","Wed May 28 00:18:31 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","35","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Wed May 28 00:18:31 GMT 2025","failed","Wed May 28 00:18:31 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","37","Get events - no auth","QA|Nova Bank - Infopool","Wed May 28 00:18:29 GMT 2025","passed","Wed May 28 00:18:29 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Delete a report (soft delete)","34","Delete Report","QA|Nova Bank - Infopool","Wed May 28 00:18:46 GMT 2025","failed","Wed May 28 00:18:46 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"Get a specific report by ID","35","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Wed May 28 00:18:46 GMT 2025","passed","Wed May 28 00:18:46 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","59","Update user - ID does not exist","QA|Nova Bank - Infopool","Wed May 28 00:18:42 GMT 2025","passed","Wed May 28 00:18:42 GMT 2025","v1 > Users > Update user","Bank Admin","",""
